"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"2005280040","Molex","WM20760CT-ND","","","Cut Tape (CT)","Active","50","0,32900","16,45 €","11305","12 Weeks","1.0 FPC ZIF BTM CONT EMBT PKG 4C","ROHS3 Compliant","Lead free","REACH Unaffected"
"HRP-300N-24","MEAN WELL USA Inc.","1866-HRP-300N-24-ND","","","Box","Active","1","76,68000","76,68 €","5","11 Weeks","300W SINGLE OUTPUT WITH PFC FUNC","Not Available","Not Available","Not Available"
"IRLZ44PBF","Vishay Siliconix","IRLZ44PBF-ND","","","Tube","Active","7","2,15000","15,05 €","611","8 Weeks","MOSFET N-CH 60V 50A TO220AB","ROHS3 Compliant","Lead free","Not Available"
"5-5530843-0","TE Connectivity AMP Connectors","A31722-ND","","","Bulk","Active","16","1,53500","24,56 €","24454","5 Weeks","CONN CARDEDGE FEMALE 20POS 0.100","RoHS Compliant","Lead free","Not Available"
"TMC5160A-TA-T","Trinamic Motion Control GmbH","1460-TMC5160A-TA-TCT-ND","","","Cut Tape (CT)","Active","4","5,63000","22,52 €","20773","6 Weeks","IC MTR DRVR BIPOLAR 8-60V 48TQFP","ROHS3 Compliant","Not Available","Not Available"
